時刻,EventID,イベント種別,分類,対象,対象種別,対象種別備考,プロセス名,プロセスID,ユーザー,アクセス内容,HandleId,RecordId
2026-07-20 06:58:13.639227,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x4a60,3914300
2026-07-20 06:58:13.639230,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x4a60,3914301
2026-07-20 06:58:13.639232,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x4a60,3914302
2026-07-20 06:58:13.681845,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x54d8,3914305
2026-07-20 06:58:13.681849,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x54d8,3914306
2026-07-20 06:58:13.681864,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x54d8,3914307
2026-07-20 06:58:13.683420,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x607c,3914310
2026-07-20 06:58:13.683427,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x607c,3914311
2026-07-20 06:58:13.683444,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x607c,3914312
2026-07-20 06:58:15.596325,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x68bc,3914315
2026-07-20 06:58:15.596329,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x68bc,3914316
2026-07-20 06:58:15.596331,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x68bc,3914317
