"時刻","操作","EventID","AccessList","AccessMask","AccessReason","EtwTime","IpAddress","IpPort","ObjectType","RelativeTargetName","ShareLocalPath","ShareName","SubjectDomainName","SubjectLogonId","SubjectUserName","SubjectUserSid"
"06:36:51.329529","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.147516","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.329885","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.204744","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.330267","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.209021","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.330564","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.230062","192.168.1.20","55411","File","new.txt","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.330923","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.240392","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.331716","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.243164","192.168.1.20","55411","File","new.txt","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.332068","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.252394","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:53.131164","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:52.122160","192.168.1.20","55411","File","new.txt","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:02.599887","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:01.761427","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:37:02.600275","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:37:01.770518","192.168.1.20","55411","File","write_target.txt","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
